sample,box,status,note,box_start_new_york,box_end_new_york,box_range_pips,entry_rule,stop_r,target_r,target_mode,trade_status,direction,signal_time_new_york,signal_minutes_after_box,entry_price,box_break_buffer_pips,stop_price,target_price,risk_pips,reward_pips,outcome,exit_time_new_york,exit_price,gross_pips,net_pips,net_r_vs_box,net_risk_r,spread_pips_round_turn
49,1,accepted,all boxes fine,2022-02-28 19:10 EST,2022-02-28 19:40 EST,5.1,first_close_breakout,2.0,1.0,box_extension_r,filled,short,2022-02-28 19:45 EST,5.0,1.12058,0.51,1.1216,1.12027,10.2,3.1,target,2022-02-28 20:40 EST,1.12027,3.1,1.9,0.373,0.186,1.2
49,2,accepted,all boxes fine,2022-02-28 21:30 EST,2022-02-28 22:00 EST,3.9,first_close_breakout,2.0,1.0,box_extension_r,filled,long,2022-02-28 22:05 EST,5.0,1.12,0.5,1.11922,1.1203,7.8,3.0,stop,2022-02-28 22:55 EST,1.11922,-7.8,-9.0,-2.308,-1.154,1.2
49,3,accepted,all boxes fine,2022-02-28 23:20 EST,2022-02-28 23:55 EST,4.8,first_close_breakout,2.0,1.0,box_extension_r,filled,long,2022-03-01 00:00 EST,5.0,1.12018,0.5,1.11922,1.12046,9.6,2.8,target,2022-03-01 01:45 EST,1.12046,2.8,1.6,0.333,0.167,1.2
49,4,accepted,all boxes fine,2022-03-01 00:35 EST,2022-03-01 01:30 EST,7.6,first_close_breakout,2.0,1.0,box_extension_r,filled,long,2022-03-01 01:40 EST,10.0,1.12029,0.76,1.11877,1.12088,15.2,5.9,target,2022-03-01 02:00 EST,1.12088,5.9,4.7,0.618,0.309,1.2
50,1,accepted,all four good,2023-11-29 05:40 EST,2023-11-29 06:25 EST,6.9,first_close_breakout,2.0,1.0,box_extension_r,filled,long,2023-11-29 06:35 EST,10.0,1.09797,0.69,1.09659,1.0985,13.8,5.3,target,2023-11-29 06:55 EST,1.0985,5.3,4.1,0.594,0.297,1.2
50,2,accepted,all four good,2023-11-29 07:25 EST,2023-11-29 08:05 EST,7.4,first_close_breakout,2.0,1.0,box_extension_r,filled,short,2023-11-29 08:35 EST,30.0,1.09754,0.74,1.09902,1.09734,14.8,2.0,target,2023-11-29 08:40 EST,1.09734,2.0,0.8,0.108,0.054,1.2
50,3,accepted,all four good,2023-11-29 11:10 EST,2023-11-29 11:50 EST,8.7,first_close_breakout,2.0,1.0,box_extension_r,filled,long,2023-11-29 12:05 EST,15.0,1.09748,0.87,1.09574,1.09789,17.4,4.1,target,2023-11-29 13:00 EST,1.09789,4.1,2.9,0.333,0.167,1.2
50,4,accepted,all four good,2023-11-29 12:10 EST,2023-11-29 12:40 EST,4.7,first_close_breakout,2.0,1.0,box_extension_r,filled,long,2023-11-29 13:00 EST,20.0,1.09795,0.5,1.09701,1.09822,9.4,2.7,target,2023-11-29 13:40 EST,1.09822,2.7,1.5,0.319,0.16,1.2
51,1,accepted,user said fine,2024-02-07 14:00 EST,2024-02-07 14:55 EST,5.4,first_close_breakout,2.0,1.0,box_extension_r,no_signal,,,,,,,,,,,,,,,,,
51,2,accepted,user said fine,2024-02-07 17:25 EST,2024-02-07 18:10 EST,3.8,first_close_breakout,2.0,1.0,box_extension_r,filled,long,2024-02-07 18:20 EST,10.0,1.07766,0.5,1.0769,1.07796,7.6,3.0,time_exit,2024-02-07 20:10 EST,1.07778,1.2,-0.0,-0.0,-0.0,1.2
51,3,accepted,user said fine,2024-02-07 19:30 EST,2024-02-07 20:25 EST,3.9,first_close_breakout,2.0,1.0,box_extension_r,filled,long,2024-02-07 21:00 EST,35.0,1.07814,0.5,1.07736,1.07834,7.8,2.0,target,2024-02-07 21:40 EST,1.07834,2.0,0.8,0.205,0.103,1.2
